name,quantity,usage_history,expiry_days
Coffee Beans,1000,"120, 110, 100, 90, 95",8
Milk Packets,200,"40, 45, 50, 42, 38",3
Paper Cups,300,"20, 22, 18, 19, 21",30
Plastic Bottles,150,"5, 6, 4, 5, 5",20
Sandwich Bread,80,"15, 12, 10, 9, 8",4
Cleaning Spray,50,"2, 1, 2, 1, 2",60
Packaged Snacks,500,"25, 20, 18, 15, 12",25
Tea Bags,0,"5, 4, 6, 5, 4",14
Sugar,500,"0, 0, 0, 0, 0",100
Salt,100,"",120
Yogurt,75,"5, 3, 4, 2, 1",5
Water Bottles,5000,"50, 45, 60, 55, 58",365
Rice Bulk,2000,"10, 8, 12, 9, 11",180
Donuts,120,"80, 20, 70, 15, 65",2
Cookies,400,"50, 40, 30, 20, 10",15
Juice Concentrate,30,"3, 3, 3, 3, 3",1
Olive Oil,10,"1, 1, 1, 1, 1",720
Napkins,2500,"100, 120, 110, 115, 105",45
Canned Vegetables,200,"15, 14, 16, 13, 17",365
Pasta,450,"30, 35, 28, 32, 26",730
